扬州,2015,大众,大众 朗逸 2015款 1.6L 自动舒适版,6.56,11.33,1.6L,自动
扬州,2011,斯柯达,斯柯达 晶锐 2011款 1.4L 自动晶致版,3.00,5.51,1.4L,自动
扬州,2016,起亚K3,起亚K3 2016款 1.6L 自动天窗版,6.49,4.28,1.6L,自动
常州,2016,丰田,丰田 雷凌 2016款 1.6G CVT精英版,8.80,4.03,1.6L,自动
扬州,2016,现代,现代 领动 2016款 1.6L 自动智炫·精英型,7.10,5.89,1.6L,自动
扬州,2015,雪佛兰,雪佛兰 2015款 赛欧3 1.5L 手动理想天窗版,4.18,1.75,1.5L,手动
扬州,2016,别克,别克 威朗 2016款 两厢 15S 自动进取型,7.98,1.84,1.5L,自动
扬州,2013,现代,现代 全新胜达 2013款 2.0T 自动四驱尊贵型,8.80,7.86,2.0T,自动
无锡,2017,现代,现代 全新胜达 2017款 2.0T 自动两驱智能型 7座,13.50,9.14,2.0T,自动
常州,2014,奥迪A3,奥迪A3 2014款 Sportback 35 TFSI 自动舒适型,12.16,5.6,1.4T,自动
常州,2013,奔驰C级,奔驰C级 2013款 C 180 经典型 Grand Edition,14.28,7.36,1.8T,自动
无锡,2018,本田,本田 飞度 2018款 1.5L CVT舒适天窗版,7.90,3.79,1.5L,自动
扬州,2018,哈弗H6,哈弗H6 2018款 红标 运动版 1.5T 自动两驱精英型,7.58,0.8,1.5T,自动
无锡,2018,丰田,丰田 皇冠 2018款 2.0T 运动版,25.80,2.33,2.0T,自动
无锡,2018,本田,本田 飞度 2018款 1.5L CVT舒适版,7.50,4.26,1.5L,自动
无锡,2016,丰田,丰田 RAV4 2016款 2.0L CVT两驱智尚版 国V,16.10,3.89,2.0L,自动
无锡,2017,大众,大众 速腾 2017款 230TSI 自动舒适型,10.80,2.37,1.4T,自动
扬州,2016,大众POLO,大众POLO 2016款 1.4L 手动风尚型,4.58,11.66,1.4L,手动
无锡,2018,路虎,路虎 发现神行 2018款 240PS PURE版,24.60,3.44,2.0T,自动
无锡,2017,丰田,丰田 卡罗拉 2017款 改款 1.2T S-CVT GL,8.44,4.26,1.2T,自动
扬州,2019,现代,现代 菲斯塔 2019款 280TGDi 智速版 国VI,12.80,0.01,1.6T,自动
无锡,2018,奔驰C级,奔驰C级 2018款 C 200 运动版,26.80,3.25,2.0T,自动
无锡,2018,马自达CX-3,马自达CX-3 2018款 2.0L 自动尊贵型(进口),11.90,2.15,2.0L,自动
无锡,2018,大众,大众 2018款 途安L 280TSI 自动舒适版 7座 国V,12.80,5.39,1.4T,自动
无锡,未知年份,款,款 1.5T ONE,18.90,2.48,1.5T,自动
无锡,2018,宝马3系,宝马3系 2018款 320Li 时尚型,24.50,4.56,2.0T,自动
无锡,2015,奔驰C级,奔驰C级 2015款 C 200 L 运动型,20.33,9.3,2.0T,自动
无锡,2017,宝马3系,宝马3系 2017款 320Li 时尚型,20.80,8.97,2.0T,自动
扬州,2015,现代,现代 朗动 2015款 1.6L 自动领先型,6.38,5.17,1.6L,自动
常州,2019,丰田,丰田 亚洲龙 2019款 2.0L 豪华版,20.98,1.17,2.0L,自动
无锡,2017,凯迪拉克ATS-L,凯迪拉克ATS-L 2017款 28T 技术型,19.30,2.96,2.0T,自动
扬州,2014,大众,大众 高尔夫 2014款 1.6L 自动舒适型,7.98,7.01,1.6L,自动
扬州,2013,别克,别克 凯越 2013款 1.5L 自动经典型,4.50,6.89,1.5L,自动
扬州,2009,奔驰B级,奔驰B级 2009款 B 200 时尚型(进口),6.58,14.13,2.0L,自动
无锡,未知年份,款,款 1.0 MHD 硬顶激情版,4.80,7.81,1.0L,自动
无锡,2019,别克,别克 英朗 2019款 18T 自动互联精英型 国V,7.98,1.74,1.3T,自动
常州,2016,哈弗H1,哈弗H1 2016款 改款 蓝标 1.5L AMT豪华型,4.68,2.86,1.5L,自动
扬州,2018,五菱荣光V,五菱荣光V 2018款 1.2L标准型,3.88,3.59,1.2L,手动
无锡,2017,哈弗H2s,哈弗H2s 2017款 蓝标 1.5T 双离合精英型,6.50,6.63,1.5T,自动
无锡,2015,现代ix25,现代ix25 2015款 1.6L 自动两驱智能型GLS,7.20,8.24,1.6L,自动
无锡,2016,奥迪A4L,奥迪A4L 2016款 35 TFSI 自动舒适型,16.60,8.28,2.0T,自动
无锡,2020,宝马3系,宝马3系 2020款 325Li M运动套装,32.58,0.59,2.0T,自动
常州,2019,本田,本田 思域 2019款 220TURBO CVT燃动版 国VI,13.90,0.7,1.5T,自动
